order_id,date,city,category,product,quantity,price,total
1001,2024-03-01,Москва,Электроника,Наушники,2,3200,6400
1002,2024-03-01,Казань,Одежда,Куртка,1,5800,5800
1003,2024-03-02,Санкт-Петербург,Электроника,Смартфон,1,42000,42000
1004,2024-03-02,Москва,Бытовая техника,Чайник,1,2500,2500
1005,2024-03-03,Новосибирск,Одежда,Кроссовки,2,4100,8200
1006,2024-03-03,Екатеринбург,Электроника,Планшет,1,28000,28000
1007,2024-03-04,Москва,Продукты,Кофе,3,890,2670
1008,2024-03-04,Казань,Электроника,Наушники,1,3200,3200
1009,2024-03-05,Санкт-Петербург,Одежда,Джинсы,2,3400,6800
1010,2024-03-05,Москва,Бытовая техника,Пылесос,1,12000,12000
1011,2024-03-06,Новосибирск,Электроника,Ноутбук,1,75000,75000
1012,2024-03-06,Екатеринбург,Продукты,Чай,5,320,1600
1013,2024-03-07,Казань,Бытовая техника,Микроволновка,1,8900,8900
1014,2024-03-07,Москва,Одежда,Пальто,1,9800,9800
1015,2024-03-08,Санкт-Петербург,Электроника,Смартфон,2,42000,84000
1016,2024-03-08,Ростов-на-Дону,Продукты,Кофе,2,890,1780
1017,2024-03-09,Москва,Электроника,Наушники,3,3200,9600
1018,2024-03-09,Новосибирск,Одежда,Куртка,1,5800,5800
1019,2024-03-10,Казань,Электроника,Планшет,2,28000,56000
1020,2024-03-10,Санкт-Петербург,Бытовая техника,Чайник,2,2500,5000
1021,2024-03-11,Екатеринбург,Одежда,Кроссовки,1,4100,4100
1022,2024-03-11,Москва,Продукты,Чай,4,320,1280
1023,2024-03-12,Ростов-на-Дону,Электроника,Ноутбук,1,75000,75000
1024,2024-03-12,Казань,Одежда,Джинсы,3,3400,10200
1025,2024-03-13,Санкт-Петербург,Продукты,Кофе,6,890,5340
1026,2024-03-13,Москва,Бытовая техника,Пылесос,2,12000,24000
1027,2024-03-14,Новосибирск,Электроника,Смартфон,1,42000,42000
1028,2024-03-14,Екатеринбург,Одежда,Пальто,1,9800,9800
1029,2024-03-15,Москва,Электроника,Планшет,1,28000,28000
1030,2024-03-15,Казань,Продукты,Чай,3,320,960
1031,2024-03-16,Санкт-Петербург,Одежда,Куртка,2,5800,11600
1032,2024-03-16,Ростов-на-Дону,Электроника,Наушники,4,3200,12800
1033,2024-03-17,Москва,Продукты,Кофе,2,890,1780
1034,2024-03-17,Новосибирск,Бытовая техника,Микроволновка,1,8900,8900
1035,2024-03-18,Екатеринбург,Электроника,Ноутбук,1,75000,75000
1036,2024-03-18,Казань,Одежда,Кроссовки,2,4100,8200
1037,2024-03-19,Санкт-Петербург,Бытовая техника,Пылесос,1,12000,12000
1038,2024-03-19,Москва,Электроника,Смартфон,1,42000,42000
1039,2024-03-20,Ростов-на-Дону,Одежда,Джинсы,2,3400,6800
1040,2024-03-20,Новосибирск,Продукты,Кофе,4,890,3560
1041,2024-03-21,Москва,Электроника,Наушники,5,3200,16000
1042,2024-03-21,Казань,Бытовая техника,Чайник,3,2500,7500
1043,2024-03-22,Санкт-Петербург,Одежда,Пальто,2,9800,19600
1044,2024-03-22,Екатеринбург,Электроника,Планшет,1,28000,28000
1045,2024-03-23,Москва,Продукты,Чай,6,320,1920
1046,2024-03-23,Ростов-на-Дону,Электроника,Ноутбук,1,75000,75000
1047,2024-03-24,Новосибирск,Одежда,Куртка,1,5800,5800
1048,2024-03-24,Казань,Бытовая техника,Пылесос,1,12000,12000
1049,2024-03-25,Санкт-Петербург,Электроника,Смартфон,3,42000,126000
1050,2024-03-25,Москва,Одежда,Кроссовки,2,4100,8200
1051,2024-04-01,Москва,Электроника,Наушники,1,3200,3200
1052,2024-04-01,Казань,Продукты,Кофе,3,890,2670
1053,2024-04-02,Санкт-Петербург,Бытовая техника,Чайник,1,2500,2500
1054,2024-04-02,Екатеринбург,Электроника,Ноутбук,1,75000,75000
1055,2024-04-03,Москва,Одежда,Джинсы,2,3400,6800
1056,2024-04-03,Новосибирск,Электроника,Планшет,1,28000,28000
1057,2024-04-04,Ростов-на-Дону,Одежда,Пальто,1,9800,9800
1058,2024-04-04,Казань,Продукты,Чай,4,320,1280
1059,2024-04-05,Санкт-Петербург,Электроника,Смартфон,1,42000,42000
1060,2024-04-05,Москва,Бытовая техника,Пылесос,1,12000,12000
1061,2024-04-06,Екатеринбург,Одежда,Кроссовки,3,4100,12300
1062,2024-04-06,Новосибирск,Электроника,Наушники,2,3200,6400
1063,2024-04-07,Москва,Продукты,Кофе,5,890,4450
1064,2024-04-07,Казань,Бытовая техника,Микроволновка,1,8900,8900
1065,2024-04-08,Санкт-Петербург,Одежда,Куртка,2,5800,11600
1066,2024-04-08,Ростов-на-Дону,Электроника,Планшет,2,28000,56000
1067,2024-04-09,Москва,Одежда,Пальто,1,9800,9800
1068,2024-04-09,Екатеринбург,Продукты,Чай,2,320,640
1069,2024-04-10,Новосибирск,Бытовая техника,Чайник,2,2500,5000
1070,2024-04-10,Казань,Электроника,Смартфон,1,42000,42000
1071,2024-04-11,Санкт-Петербург,Продукты,Кофе,3,890,2670
1072,2024-04-11,Москва,Электроника,Ноутбук,1,75000,75000
1073,2024-04-12,Ростов-на-Дону,Одежда,Джинсы,1,3400,3400
1074,2024-04-12,Новосибирск,Электроника,Планшет,1,28000,28000
1075,2024-04-13,Москва,Бытовая техника,Пылесос,1,12000,12000
1076,2024-04-13,Казань,Одежда,Куртка,2,5800,11600
1077,2024-04-14,Санкт-Петербург,Электроника,Наушники,3,3200,9600
1078,2024-04-14,Екатеринбург,Продукты,Кофе,4,890,3560
1079,2024-04-15,Москва,Одежда,Кроссовки,1,4100,4100
1080,2024-04-15,Ростов-на-Дону,Электроника,Смартфон,1,42000,42000
1081,2024-04-16,Новосибирск,Продукты,Чай,5,320,1600
1082,2024-04-16,Казань,Бытовая техника,Пылесос,1,12000,12000
1083,2024-04-17,Санкт-Петербург,Одежда,Пальто,1,9800,9800
1084,2024-04-17,Москва,Электроника,Планшет,2,28000,56000
1085,2024-04-18,Екатеринбург,Продукты,Кофе,2,890,1780
1086,2024-04-18,Новосибирск,Одежда,Куртка,1,5800,5800
1087,2024-04-19,Казань,Электроника,Наушники,4,3200,12800
1088,2024-04-19,Москва,Бытовая техника,Микроволновка,1,8900,8900
1089,2024-04-20,Санкт-Петербург,Электроника,Ноутбук,1,75000,75000
1090,2024-04-20,Ростов-на-Дону,Одежда,Джинсы,3,3400,10200
1091,2024-04-21,Москва,Продукты,Чай,3,320,960
1092,2024-04-21,Екатеринбург,Электроника,Смартфон,1,42000,42000
1093,2024-04-22,Новосибирск,Одежда,Кроссовки,2,4100,8200
1094,2024-04-22,Казань,Бытовая техника,Чайник,2,2500,5000
1095,2024-04-23,Санкт-Петербург,Электроника,Планшет,1,28000,28000
1096,2024-04-23,Москва,Одежда,Пальто,2,9800,19600
1097,2024-04-24,Ростов-на-Дону,Продукты,Кофе,6,890,5340
1098,2024-04-24,Новосибирск,Электроника,Ноутбук,1,75000,75000
1099,2024-04-25,Казань,Одежда,Куртка,1,5800,5800
1100,2024-04-25,Москва,Электроника,Наушники,2,3200,6400
